China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Name,CrowdStrike,IRL,Kaspersky,Secureworks,Mandiant,FireEye,Symantec,iSight,Cisco (Sourcefire/VRT > Talos),Palo Alto Unit 42,Other Names,Operation 1,Operation 2,Operation 3,Operation 4,Toolset / Malware,Targets,Modus Operandi,Overlaps to,Comment,Link 1,Link 2,Link 3,Link 4,Link 5,Link 6,Link 7,Link 8,Link 9,Link 10,Link 11,Link 12,Link 13,Link 14,Link 15
Anchor Panda,Anchor Panda,,,,,,,,,,,,,,,"Adobe Gh0st, Poison Ivy, Torn RAT","This threat actor targets government and private sector entities interested in maritime issues in the South China Sea for espionage purposes. Maritime satellite systems, aerospace companies, and defense contractors.",,,“PdPD” (50 64 50 44) marker for encrypted binaries,http://www.crowdstrike.com/blog/whois-anchor-panda/,,,,,,,,,,,,,,
Big Panda,,,,,,,,,,,,,,,,,Financial services firms,,,Mentioned by Alperovitch in 2013 article as targeting financial services industry,http://www.darkreading.com/attacks-and-breaches/crowdstrike-falcon-traces-attacks-back-to-hackers/d/d-id/1110402?,,,,,,,,,,,,,,
Electric Panda,,,,,,,,,,,,,,,,,,,,Listed on slide 8,http://www.slideshare.net/CrowdStrike/crowd-casts-monthly-you-have-an-adversary-problem,,,,,,,,,,,,,,
Eloquent Panda,,,,,,,,,,,,,,,,,,,,Mentioned slide 15,http://files.sans.org/summit/Threat_Hunting_Incident_Response_Summit_2016/PDFs/Detecting-and-Responding-to-Pandas-and-Bears-Christopher-Scott-CrowdStrike-and-Wendi-Whitmore-IBM.pdf,,,,,,,,,,,,,,
Emissary Panda,Emissary Panda,,LuckyMouse,"BRONZE UNION, TG-3390",APT27,,,TEMP.Hippo,Group 35,,"ZipToken, Iron Tiger",Iron Tiger,A Tale of Two Targets	,,,"PlugX, China Chopper Webshell, HttpBrowser, Hunter, ASPXTool, wce, gsecdump, nbtscan, htran","US Gov and contractors, Western think tanks",,,,http://www.secureworks.com/cyber-threat-intelligence/threats/threat-group-3390-targets-organizations-for-cyberespionage/,http://newsroom.trendmicro.com/blog/operation-iron-tiger-attackers-shift-east-asia-united-states,https://www.threatconnect.com/blog/threatconnect-discovers-chinese-apt-activity-in-europe/,https://www.secureworks.com/research/bronze-union,https://www.nccgroup.trust/uk/about-us/newsroom-and-events/blogs/2018/april/decoding-network-data-from-a-gh0st-rat-variant/,https://securelist.com/luckymouse-hits-national-data-center/86083/,https://securelist.com/luckymouse-ndisproxy-driver/87914/,https://www.crowdstrike.com/resources/reports/2019-crowdstrike-global-threat-report/,https://www.secureworks.com/research/a-peek-into-bronze-unions-toolbox,,,,,,
Foxy Panda,Foxy Panda,,,,,,,,,,,,,,,,Technology & Communications,,,Listed slide 4,http://files.sans.org/summit/Threat_Hunting_Incident_Response_Summit_2016/PDFs/Detecting-and-Responding-to-Pandas-and-Bears-Christopher-Scott-CrowdStrike-and-Wendi-Whitmore-IBM.pdf,,,,,,,,,,,,,,
Gibberish Panda,Gibberish Panda,,,,,,,,,,,,,,,,,,,Listed slide 8,http://www.slideshare.net/CrowdStrike/crowd-casts-monthly-you-have-an-adversary-problem,,,,,,,,,,,,,,
Goblin Panda,Goblin Panda,,Cycldek,,,,,,,,"Cycldek, Conimes Team, China1937CN Team",,,,,"ZeGhost, PlugX","Southeast Asia, Government of Vietnam",,,"Weaponizer leaked, new activity wrongly attributed to this long inactive group, possible links to Icefog/Dagger Panda and Temp.Periscope/APT40",http://www.crowdstrike.com/blog/rhetoric-foreshadows-cyber-activity-in-the-south-china-sea/,https://www.crowdstrike.com/blog/meet-crowdstrikes-adversary-of-the-month-for-august-goblin-panda/,https://www.anomali.com/blog/analyzing-digital-quartermasters-in-asia-do-chinese-and-indian-apts-have-a-shared-supply-chain,https://www.fortinet.com/blog/threat-research/cta-security-playbook--goblin-panda.html,,,,,,,,,,,
Hammer Panda,,,,,,,,,,,,,,,,,Russia,,,,http://www.darkreading.com/endpoint/chinese-cyberspies-pivot-to-russia-in-wake-of-obama-xi-pact/d/d-id/1324242,,,,,,,,,,,,,,
Hurricane Panda,Hurricane Panda,,,,APT31,,Black Vine,TEMP.Avengers,,,Zirconium,Umbrella Revolution,Op. Poisoned Hurricane,,,"China Chopper Webshell, PlugX, Mimikatz, Sakula","Aerospace, Healthcare, Energy (gas & electric turbine manufacturing), Military and defense, Finance, Agriculture, Technology, Japan, United States, United Kingdom, India, Canada, Brazil, South Africa, Australia, Thailand, South Korea, France, Switzerland, Sweden, Finland, Norway",,,used free DNS servers provided by Hurricane Electric,http://www.crowdstrike.com/blog/cyber-deterrence-in-action-a-story-of-one-long-hurricane-panda-campaign/,http://blog.crowdstrike.com/crowdstrike-discovers-use-64-bit-zero-day-privilege-escalation-exploit-cve-2014-4113-hurricane-panda/,http://blog.airbuscybersecurity.com/post/2015/09/APT-BlackVine-Malware-Sakula,https://www.symantec.com/connect/blogs/black-vine-formidable-cyberespionage-group-targeted-aerospace-healthcare-2012,http://blog.airbuscybersecurity.com/post/2015/10/Malware-Sakula-Evolutions-%28Part-2/2%29,https://blog.confiant.com/uncovering-2017s-largest-malvertising-operation-b84cd38d6b85,https://uk.reuters.com/article/uk-china-cyber-norway-visma/china-hacked-norways-visma-to-steal-client-secrets-investigators-idUKKCN1PV14R,https://raw.githubusercontent.com/GuardaCyber/APT-Groups-and-Operations/master/Reports/FireEye%20Intel%20-%20APT31%20Threat%20Group%20Profile.pdf,,,,,,,
Impersonating Panda,Impersonating Panda,,,,,,,,,,,,,,,,Financial sector,,,,,,,,,,,,,,,,,,
Judgement Panda,,,,,,,,,,,,,,,,"Spear-phishing, URL “web bugs” and scheduled tasks to automate credential harvesting","Upstream providers (e.g., law firms and managed service providers) to support additional intrusions against high-profile assets",,,,https://www.crowdstrike.com/resources/reports/2019-crowdstrike-global-threat-report/,,,,,,,,,,,,,,
Karma Panda,Karma Panda,CactusPete,CactusPete,,,,,Tonto Team,,,"Bisonal (malware), Lone Ranger",,,,,,Dissident groups,,,Listed slide 4,http://files.sans.org/summit/Threat_Hunting_Incident_Response_Summit_2016/PDFs/Detecting-and-Responding-to-Pandas-and-Bears-Christopher-Scott-CrowdStrike-and-Wendi-Whitmore-IBM.pdf,https://securelist.com/apt-trends-report-q1-2019/90643/,,,,,,,,,,,,,
Keyhole Panda,Keyhole Panda,,,,,,,temp.bottle,,,,,,,,,Electronics & Communications,,,Listed slide 4,http://files.sans.org/summit/Threat_Hunting_Incident_Response_Summit_2016/PDFs/Detecting-and-Responding-to-Pandas-and-Bears-Christopher-Scott-CrowdStrike-and-Wendi-Whitmore-IBM.pdf,,,,,,,,,,,,,,
Kryptonite Panda,,,,,,,,,,,,,,,,8.t exploit document builder,Cambodia,,,,https://www.crowdstrike.com/resources/reports/2019-crowdstrike-global-threat-report/,,,,,,,,,,,,,,
Mustang Panda,,,HoneyMyte,,,,,,,,,,,,,,"Mining sector in Mongolia, private individuals",,,,https://www.crowdstrike.com/resources/reports/2019-crowdstrike-global-threat-report/,https://www.anomali.com/blog/china-based-apt-mustang-panda-targets-minority-groups-public-and-private-sector-organizations#When:17:14:00Z,https://www.crowdstrike.com/blog/meet-crowdstrikes-adversary-of-the-month-for-june-mustang-panda/,,,,,,,,,,,,
Night Dragon,Night Dragon,,,,,,,,,,,Night Dragon,,,,,"A threat actor compromised U.S. oil companies through spear phishing and remote administration tools. Oil, Energy and Petrochemical (OpNightDragon)",,,,https://kc.mcafee.com/corporate/index?page=content&id=KB71150,http://www.mcafee.com/us/resources/white-papers/wp-global-energy-cyberattacks-night-dragon.pdf,,,,,,,,,,,,,
Nightshade Panda,Nightshade Panda,,,,APT9,,,,,,,Agriculture in EU,,,,"Poison Ivy, PlugX, BIGJOLT,FUNRUN,GH0ST,HOMEUNIX,JIM A,PHOTO,POISON IVY,SKINNYGENE,SOGU,VICEROY,VIPSH ELL,WETHEAD,XDOOR,ZXSHELL","HK, US, SG, MY, JP, IN, KR, TH, TW - Aerospace, Agriculture, Construction, Energy, Healthcare, ,High Tech, Media, Transportation",,,,https://otx.alienvault.com/pulse/55bbc68e67db8c2d547ae393/,,,,,,,,,,,,,,
Nomad Panda,,,,,,,,,,,,,,,,8.t exploit document builder,Central Asian nations,,,,https://www.crowdstrike.com/resources/reports/2019-crowdstrike-global-threat-report/,,,,,,,,,,,,,,
Pale Panda,,,,,,,,,,,,,,,,PlugX,,,,Mentioned in 2014 Crowdstrike Global Threat Intel Report pg 22,http://go.crowdstrike.com/rs/281-OBQ-266/images/ReportGlobalThreatIntelligence.pdf,,,,,,,,,,,,,,
Pirate Panda,Pirate Panda,,,,,,,,,,KeyBoys,,,,,,,Southeast Asia,,,http://www.crowdstrike.com/blog/rhetoric-foreshadows-cyber-activity-in-the-south-china-sea/,http://www.pwc.co.uk/issues/cyber-security-data-privacy/research/the-keyboys-are-back-in-town.html,https://blog.rapid7.com/2013/06/07/keyboy-targeted-attacks-against-vietnam-and-india/,https://blogs.cisco.com/security/scope-of-keyboy-targeted-malware-attacks,https://citizenlab.ca/2016/11/parliament-keyboy/,,,,,,,,,,
Poisonous Panda,Poisonous Panda,,,,,,,,,,,,,,,,"Energy technology, G20, NGOs, Dissident Groups",,,Listed slide 4,http://files.sans.org/summit/Threat_Hunting_Incident_Response_Summit_2016/PDFs/Detecting-and-Responding-to-Pandas-and-Bears-Christopher-Scott-CrowdStrike-and-Wendi-Whitmore-IBM.pdf,,,,,,,,,,,,,,
Predator Panda,Predator Panda,,,,,,,,,,,,,,,PlugX,Southeast Asia,,,Mentioned pg 22 & 42,http://go.crowdstrike.com/rs/281-OBQ-266/images/ReportGlobalThreatIntelligence.pdf,,,,,,,,,,,,,,
Radio Panda,Radio Panda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sabre Panda,,,,,,,,,,,,,,,,,Umbrella Revolution,,,Listed in 2014 Global Threat Report (pg 9) - observed in Umbrella Revolution related activity (pg 28),http://go.crowdstrike.com/rs/281-OBQ-266/images/ReportGlobalThreatIntelligence.pdf,,,,,,,,,,,,,,
Spicy Panda,,,,,,,,,,,,,,,,,,,,Listed in 2014 Global Threat Report - no more details pg 9,http://go.crowdstrike.com/rs/281-OBQ-266/images/ReportGlobalThreatIntelligence.pdf,,,,,,,,,,,,,,
Stone Panda,Stone Panda,,,,APT10,,,MenuPass Team,,menuPass,"Red Apollo, CVNX, POTASSIUM, Cloud Hopper, Hogfish",menuPass,Dust Storm,Cloud Hopper,ChessMaster,"Poison Ivy, EvilGrab, IEChecker, ChChes, PlugX, RedLeaves, Quasar, CobaltStrike, Trochilus, UPPERCUT (aka ANEL), StoneNetLoader","Healthcare; Pharma, Defense, Aerospace, Government, MSP, ","Data exfil over common TCP services (RDP, HTTPS)","Compromise & Persistence: BUGJUICE, SOGU, SNUGRIDE, Group 27",Profile slide 13 & 14,http://www.slideshare.net/CrowdStrike/crowd-casts-monthly-you-have-an-adversary-problem,http://researchcenter.paloaltonetworks.com/2017/02/unit42-menupass-returns-new-malware-new-attacks-japanese-academics-organizations/,https://www.fireeye.com/content/dam/fireeye-www/global/en/current-threats/pdfs/rpt-poison-ivy.pdf,https://www.cylance.com/hubfs/2015_cylance_website/assets/operation-dust-storm/Op_Dust_Storm_Report.pdf,https://www.isightpartners.com/2016/02/threatscape-media-highlights-update-week-february-24th/,https://threatpost.com/poison-ivy-rat-spotted-in-three-new-attacks/102022/,https://www.pwc.co.uk/issues/cyber-security-data-privacy/insights/operation-cloud-hopper.html,http://blog.trendmicro.com/trendlabs-security-intelligence/chessmaster-cyber-espionage-campaign/,https://www.us-cert.gov/ncas/alerts/TA17-117A,https://www.accenture.com/t20180423T055005Z__w__/se-en/_acnmedia/PDF-76/Accenture-Hogfish-Threat-Analysis.pdf,https://www.lac.co.jp/lacwatch/people/20180521_001638.html,https://www.fireeye.com/blog/threat-research/2018/09/apt10-targeting-japanese-corporations-using-updated-ttps.html,https://www.crowdstrike.com/resources/reports/2019-crowdstrike-global-threat-report/,https://blog.ensilo.com/uncovering-new-activity-by-apt10,
Temper Panda,Temper Panda,Admin338,Team338,,,admin@338,,338 Team,,,,Umbrella Revolution,admin@338,,,"Poison Ivy, jRat, LOWBALL, BUBBLEWRAP","Target Gov + Military, DIB, Finiancial/Think Tanks, Telco, Academia, Religious organisations",,,“PdPD” (50 64 50 44) marker for encrypted binaries,https://www.fireeye.com/blog/threat-research/2013/10/know-your-enemy-tracking-a-rapidly-evolving-apt-actor.html,https://www.fireeye.com/blog/threat-research/2015/11/china-based-threat.html,https://www.fireeye.com/blog/threat-research/2015/11/china-based-threat.html,,,,,,,,,,,,
Test Panda,Test Panda,,,,,,,,,,,,,,,,,,,Listed slide 8,http://www.slideshare.net/CrowdStrike/crowd-casts-monthly-you-have-an-adversary-problem,,,,,,,,,,,,,,
Toxic Panda,Toxic Panda,,,,,,,,,,,,,,,,Dissident Groups,,,Listed slide 4,http://files.sans.org/summit/Threat_Hunting_Incident_Response_Summit_2016/PDFs/Detecting-and-Responding-to-Pandas-and-Bears-Christopher-Scott-CrowdStrike-and-Wendi-Whitmore-IBM.pdf,,,,,,,,,,,,,,
Union Panda,Union Panda,,,,,,,,,,,,,,,,Industrial companies,,,Listed slide 4,http://files.sans.org/summit/Threat_Hunting_Incident_Response_Summit_2016/PDFs/Detecting-and-Responding-to-Pandas-and-Bears-Christopher-Scott-CrowdStrike-and-Wendi-Whitmore-IBM.pdf,,,,,,,,,,,,,,
Violin Panda,Violin Panda,,,,APT8,APT20,,,,,Covert Grove,Nitro Attacks,th3bug,,,"Poison Ivy, CAKELOG, CANDYCLOG, COOKIECLOG, CETTRA","Energy, Chemical Industry, Healthcare and Pharma",,,Listed slide 12,http://www.slideshare.net/CrowdStrike/crowdcast-monthly-operationalizing-intelligence-34141777,http://www.symantec.com/content/en/us/enterprise/media/security_response/whitepapers/the_nitro_attacks.pdf,,,,,,,,,,,,,
Wet Panda,Wet Panda,,,,,,,,,,,,,,,PlugX,Energy ,,,Mentioned in 2014 Global Threat Report using PlugX (pg 22),http://go.crowdstrike.com/rs/281-OBQ-266/images/ReportGlobalThreatIntelligence.pdf,http://www.slideshare.net/CrowdStrike/crowdcast-monthly-operationalizing-intelligence-34141777,,,,,,,,,,,,,
?,,,,,,,,,,,,Four Element Sword,,,,"UP007, SLServer, Grabber, T9000, Kivars, PlugX, Gh0StRAT, Agent.XST","Tibetans, Hong Kong, Taiwanese interests and human rights workers, Uyghur Interests",Active,IXESHE (see PWC report),,https://www.arbornetworks.com/blog/asert/four-element-sword-engagement/,https://citizenlab.org/2016/04/between-hong-kong-and-burma/,http://pwc.blogs.com/cyber_security_updates/2016/03/taiwant-election-targetting.html,,,,,,,,,,,,
?,,,,,,,,,,,,INOCNATION,,,,,,,"IXESHE (malware), Etumbot, Numbered Panda",,https://web.archive.org/web/20151217200415/https://www.fidelissecurity.com/sites/default/files/FTA_1020_Fidelis_Inocnation_FINAL.pdf,,,,,,,,,,,,,,
?,,,,,,,,,,,,Poisoned Helmand,,,,,Afghan Government,Watering Hole,Operation Poisoned Hurricane,,https://www.threatconnect.com/operation-poisoned-helmand/,,,,,,,,,,,,,,
?,,,,,,,,,,,,Titan Rain,,,,,USA,,,,http://web.archive.org/web/20081011233241/http://www.breitbart.com/news/2005/12/12/051212224756.jwmkvntb.html,,,,,,,,,,,,,,
?,Maverick Panda,PLA Navy,Sykipot,,,,,,,,,"Sykipot, Getkys, Wyksol",,,,,DIB (Defence Industrial Base) and other government organizations,,,,https://www.alienvault.com/open-threat-exchange/blog/new-sykipot-developments,http://blog.trendmicro.com/trendlabs-security-intelligence/sykipot-now-targeting-us-civil-aviation-sector-information/,,,,,,,,,,,,,
Calypso,,,,,,,,,,,"Links to Skyipot, Pitty Tiger, Comment Crew, Mirage",,,,,"Byebe, CMStar, Calypso RAT, PlugX",,,,,https://www.ptsecurity.com/ww-en/analytics/calypso-apt-2019/,,,,,,,,,,,,,,
Tropic Trooper,KeyBoy,,,,,,,,,,,,,,,"Poison Ivy, PCShare, Yahoyah","Taiwan, High-Tech in Asia, Taiwanese Government, Fossil Fuel Provider, Taiwanese, Philippine, and Hong Kong targets, focusing on their government, healthcare, transportation, and high-tech industries",,,"Group based in Xiamen, in same area as PLA Navy. Likely a navy SIGINT TRB",http://researchcenter.paloaltonetworks.com/2016/11/unit42-tropic-trooper-targets-taiwanese-government-and-fossil-fuel-provider-with-poison-ivy/,https://blog.trendmicro.com/trendlabs-security-intelligence/tropic-trooper-new-strategy/,,,,,,,,,,,,,
APT41,,,,,APT41,,,,,,,,,,,"CRACKSHOT, GEARSHIFT, HIGHNOON, JUMPALL, POISONPLUG, HOTCHAI, LATELUNCH, LIFEBOAT, LOWKEY, NJRAT, PACMAN, PHOTO, POTROAST, ROCKBOOT, SAGEHIRE, SWEETCANDLE, SOGU, TERA, TIDYELF, WIDETONE, WINTERLOVE, XDoor, Xmrig, ZxShell",,,,Overlap with BARIUM and Winnti,https://www.fireeye.com/blog/threat-research/2019/08/apt41-dual-espionage-and-cyber-crime-operation.html,https://www.fireeye.com/blog/threat-research/2019/08/game-over-detecting-and-stopping-an-apt41-operation.html,https://www.fireeye.com/blog/threat-research/2019/10/messagetap-who-is-reading-your-text-messages.html,,,,,,,,,,,,
Poison Carp,,,,,,,,,,,,Evil Eye,,,,,This threat actor targets smartphones associated with Tibetan and Uyghur activists for espionage purposes.,Strategic web compromise (watering hole),,,https://citizenlab.ca/2019/09/poison-carp-tibetan-groups-targeted-with-1-click-mobile-exploits/,https://googleprojectzero.blogspot.com/2019/08/a-very-deep-dive-into-ios-exploit.html,https://www.volexity.com/blog/2019/09/02/digital-crackdown-large-scale-surveillance-and-exploitation-of-uyghurs/,,,,,,,,,,,,
AVIVORE,,,,,,,,,,,,Airbus Attack,,,,"PlugX, Mimikatz, WmiExec ",aerospace and defence industries in the UK and Europe,,,,https://www.contextis.com/en/blog/avivore,https://www.cert.ssi.gouv.fr/uploads/CERTFR-2019-CTI-005.pdf,,,,,,,,,,,,,
APT-C-01,,,,,,,,,,,PoisonVine,,,,,"Poison Ivy, ZxShell, Kanbox RAT, CVE-2012-0158, CVE-2014-6352, CVE-2017-8759","government agencies, military individuals, research institutes, maritime agencies",,,,https://www.virusbulletin.com/uploads/pdf/conference_slides/2019/VB2019-GuPan.pdf,,,,,,,,,,,,,,
DarkUniverse,,,,,,,,,,,,,,,,ItaDuke,"Tibet and Uyghur activists, Syria, Iran, Afghanistan, Tanzania, Ethiopia, Sudan, Russia, Belarus and the United Arab Emirates",Spearphishing w/CVE-2013-0640 weaponized PDF,,,https://securelist.com/new-uyghur-and-tibetan-themed-attacks-using-pdf-exploits/35465/,https://www.alienvault.com/blogs/labs-research/latest-adobe-pdf-exploit-used-to-target-uyghur-and-tibetan-activists,https://securelist.com/darkuniverse-the-mysterious-apt-framework-27/94897/,,,,,,,,,,,,
Taskmasters,,,,,,,,,,,,,,,,"RemShell, 404-Input-shell, Eternal Blue, Scheduled Tasks","Military, government, telecommunication, small businesses",,,,https://www.ptsecurity.com/ww-en/analytics/operation-taskmasters-2019/,https://www.youtube.com/watch?v=XYuclHsoQO4&feature=youtu.be,,,,,,,,,,,,,
